date,library_name,avg_temperature,avg_humidity,avg_ph,avg_mold_spore
2025-06-15,本馆,18.4,44.59,6.86,195.69
2025-06-15,国家图书馆,17.31,41.3,7.06,143.02
2025-06-15,上海图书馆,18.62,49.63,6.65,166.03
2025-06-15,南京图书馆,18.69,40.26,6.63,143.13
2025-06-15,浙江图书馆,18.69,50.94,6.51,157.63
2025-06-15,故宫博物院,18.17,39.32,7.01,57.26
2025-06-15,北京大学图书馆,17.76,44.33,6.68,151.27
2025-06-15,中国科学院图书馆,17.32,42.12,6.84,185.57
2025-06-16,本馆,18.08,41.83,6.88,113.37
2025-06-16,国家图书馆,17.75,36.12,6.77,125.91
2025-06-16,上海图书馆,19.68,48.51,6.69,170.97
2025-06-16,南京图书馆,17.4,43.84,6.75,191.71
2025-06-16,浙江图书馆,19.86,44.71,6.63,188.45
2025-06-16,故宫博物院,16.54,41.84,7.1,127.94
2025-06-16,北京大学图书馆,17.61,43.07,6.83,169.27
2025-06-16,中国科学院图书馆,17.5,42.44,6.79,94.11
2025-06-17,本馆,18.82,49.07,6.79,180.11
2025-06-17,国家图书馆,17.96,40.06,6.94,166.14
2025-06-17,上海图书馆,19.14,52.69,6.44,204.66
2025-06-17,南京图书馆,18.74,45.1,6.81,100.37
2025-06-17,浙江图书馆,19.5,51.07,6.75,184.45
2025-06-17,故宫博物院,16.53,38.49,7.09,109.86
2025-06-17,北京大学图书馆,17.95,45.54,6.81,169.06
2025-06-17,中国科学院图书馆,17.41,42.02,6.86,86.09
2025-06-18,本馆,18.49,45.78,6.8,142.96
2025-06-18,国家图书馆,16.63,40.74,6.87,95.93
2025-06-18,上海图书馆,19.13,49.21,6.89,185.24
2025-06-18,南京图书馆,18.96,45.78,6.61,159.2
2025-06-18,浙江图书馆,19.81,57.39,6.58,209.05
2025-06-18,故宫博物院,17.23,36.49,7.11,122.56
2025-06-18,北京大学图书馆,19.09,41.27,6.94,97.94
2025-06-18,中国科学院图书馆,18.53,49.57,6.8,113.01
2025-06-19,本馆,18.42,43.49,6.64,152.06
2025-06-19,国家图书馆,16.99,43.42,6.81,166.5
2025-06-19,上海图书馆,18.72,47.03,6.78,143.07
2025-06-19,南京图书馆,19.03,49.92,6.64,165.54
2025-06-19,浙江图书馆,20.05,52.35,6.48,160.39
2025-06-19,故宫博物院,17.76,40.89,7.03,110.39
2025-06-19,北京大学图书馆,18.0,44.7,6.83,118.57
2025-06-19,中国科学院图书馆,19.64,44.42,6.78,149.7
2025-06-20,本馆,17.65,47.36,6.92,125.38
2025-06-20,国家图书馆,18.7,43.24,6.98,176.9
2025-06-20,上海图书馆,19.23,45.74,6.61,155.53
2025-06-20,南京图书馆,18.87,47.02,6.83,184.82
2025-06-20,浙江图书馆,19.94,54.36,6.57,281.61
2025-06-20,故宫博物院,17.93,37.43,6.89,114.47
2025-06-20,北京大学图书馆,18.45,46.14,6.85,137.82
2025-06-20,中国科学院图书馆,17.55,38.46,6.86,155.69
2025-06-21,本馆,18.69,41.26,6.82,161.56
2025-06-21,国家图书馆,17.31,42.46,6.91,85.71
2025-06-21,上海图书馆,19.8,49.68,6.81,211.61
2025-06-21,南京图书馆,17.91,43.19,6.85,175.41
2025-06-21,浙江图书馆,20.43,61.56,6.66,234.07
2025-06-21,故宫博物院,18.28,41.95,6.97,122.77
2025-06-21,北京大学图书馆,18.1,43.29,6.75,142.46
2025-06-21,中国科学院图书馆,20.17,37.4,6.97,81.62
2025-06-22,本馆,18.22,48.27,6.81,117.67
2025-06-22,国家图书馆,17.53,44.04,6.83,126.49
2025-06-22,上海图书馆,19.64,46.05,6.91,199.02
2025-06-22,南京图书馆,17.48,46.56,6.73,185.57
2025-06-22,浙江图书馆,19.47,49.66,6.65,225.97
2025-06-22,故宫博物院,16.64,39.0,6.95,80.4
2025-06-22,北京大学图书馆,20.21,45.21,6.67,167.54
2025-06-22,中国科学院图书馆,20.1,46.1,6.75,115.47
2025-06-23,本馆,19.7,42.88,6.84,173.24
2025-06-23,国家图书馆,17.44,41.82,6.58,89.27
2025-06-23,上海图书馆,19.48,44.26,6.86,137.1
2025-06-23,南京图书馆,18.83,46.39,6.94,116.92
2025-06-23,浙江图书馆,21.12,50.03,6.5,213.86
2025-06-23,故宫博物院,17.85,38.2,7.01,88.44
2025-06-23,北京大学图书馆,18.98,45.99,6.96,102.87
2025-06-23,中国科学院图书馆,20.19,37.14,6.88,147.65
2025-06-24,本馆,19.0,43.13,6.78,135.21
2025-06-24,国家图书馆,17.8,44.55,6.94,99.21
2025-06-24,上海图书馆,20.49,48.92,6.78,198.89
2025-06-24,南京图书馆,18.61,44.32,6.87,178.31
2025-06-24,浙江图书馆,20.25,50.35,6.73,182.25
2025-06-24,故宫博物院,18.21,39.39,6.98,132.96
2025-06-24,北京大学图书馆,19.63,46.44,6.93,140.63
2025-06-24,中国科学院图书馆,19.12,42.07,6.93,126.1
2025-06-25,本馆,18.93,46.79,6.72,212.77
2025-06-25,国家图书馆,17.55,38.36,7.02,143.75
2025-06-25,上海图书馆,20.36,49.89,6.7,153.08
2025-06-25,南京图书馆,19.42,43.97,6.9,155.59
2025-06-25,浙江图书馆,19.7,49.04,6.64,183.09
2025-06-25,故宫博物院,17.2,40.73,7.02,84.79
2025-06-25,北京大学图书馆,18.68,44.7,6.66,97.78
2025-06-25,中国科学院图书馆,18.08,42.36,6.93,174.26
2025-06-26,本馆,19.63,44.52,6.8,119.92
2025-06-26,国家图书馆,18.43,41.13,6.93,95.18
2025-06-26,上海图书馆,20.36,52.6,6.69,192.05
2025-06-26,南京图书馆,19.99,44.8,6.82,160.38
2025-06-26,浙江图书馆,20.52,47.68,6.6,214.94
2025-06-26,故宫博物院,19.1,42.88,7.22,76.98
2025-06-26,北京大学图书馆,19.84,44.55,7.02,115.75
2025-06-26,中国科学院图书馆,18.07,41.2,6.69,114.23
2025-06-27,本馆,18.42,45.45,6.83,206.29
2025-06-27,国家图书馆,19.29,40.27,6.81,134.76
2025-06-27,上海图书馆,18.97,53.49,6.82,165.92
2025-06-27,南京图书馆,18.16,50.06,6.79,197.13
2025-06-27,浙江图书馆,19.25,48.2,6.6,201.41
2025-06-27,故宫博物院,17.67,41.87,6.89,95.73
2025-06-27,北京大学图书馆,19.32,45.54,6.87,106.26
2025-06-27,中国科学院图书馆,17.6,46.83,6.93,107.55
2025-06-28,本馆,20.35,45.35,6.92,152.03
2025-06-28,国家图书馆,20.26,47.27,6.88,149.15
2025-06-28,上海图书馆,20.63,52.11,6.6,200.58
2025-06-28,南京图书馆,20.46,40.72,6.68,98.82
2025-06-28,浙江图书馆,20.39,52.15,6.75,202.22
2025-06-28,故宫博物院,19.41,35.86,6.83,98.33
2025-06-28,北京大学图书馆,19.62,43.9,6.59,137.33
2025-06-28,中国科学院图书馆,17.87,45.01,6.94,101.8
2025-06-29,本馆,18.78,41.82,6.79,178.65
2025-06-29,国家图书馆,17.9,43.51,6.85,96.21
2025-06-29,上海图书馆,20.11,44.89,6.64,144.06
2025-06-29,南京图书馆,21.27,46.11,6.73,166.42
2025-06-29,浙江图书馆,20.6,49.34,6.66,222.73
2025-06-29,故宫博物院,17.77,38.27,6.97,30.94
2025-06-29,北京大学图书馆,18.18,48.1,6.96,132.53
2025-06-29,中国科学院图书馆,19.45,43.93,7.21,163.59
2025-06-30,本馆,19.17,42.13,6.64,156.1
2025-06-30,国家图书馆,18.17,37.73,6.84,87.55
2025-06-30,上海图书馆,21.63,50.64,6.7,224.4
2025-06-30,南京图书馆,19.84,43.42,6.95,176.17
2025-06-30,浙江图书馆,19.95,49.43,6.51,158.52
2025-06-30,故宫博物院,19.02,45.73,6.86,116.89
2025-06-30,北京大学图书馆,18.96,42.54,6.74,114.08
2025-06-30,中国科学院图书馆,19.12,40.51,6.93,128.49
2025-07-01,本馆,19.17,42.28,6.74,172.66
2025-07-01,国家图书馆,19.26,39.07,6.91,142.54
2025-07-01,上海图书馆,19.02,49.63,6.63,197.12
2025-07-01,南京图书馆,19.25,40.59,6.64,161.44
2025-07-01,浙江图书馆,21.07,47.29,6.66,150.15
2025-07-01,故宫博物院,18.31,36.37,6.93,101.42
2025-07-01,北京大学图书馆,18.87,42.85,6.9,122.69
2025-07-01,中国科学院图书馆,19.83,39.61,6.95,173.25
2025-07-02,本馆,17.47,42.61,6.86,143.91
2025-07-02,国家图书馆,19.24,40.19,6.91,115.33
2025-07-02,上海图书馆,21.38,48.76,6.73,167.64
2025-07-02,南京图书馆,19.55,44.7,6.84,147.37
2025-07-02,浙江图书馆,21.17,56.23,6.69,190.22
2025-07-02,故宫博物院,19.4,38.78,6.8,69.76
2025-07-02,北京大学图书馆,18.15,42.95,6.8,190.29
2025-07-02,中国科学院图书馆,19.5,42.34,6.98,63.67
2025-07-03,本馆,19.71,47.31,6.65,184.31
2025-07-03,国家图书馆,19.3,40.75,6.96,188.12
2025-07-03,上海图书馆,20.67,48.74,6.65,154.5
2025-07-03,南京图书馆,20.69,43.43,6.81,145.67
2025-07-03,浙江图书馆,21.41,51.0,6.7,184.7
2025-07-03,故宫博物院,18.31,37.06,6.96,111.32
2025-07-03,北京大学图书馆,20.33,41.23,6.89,180.67
2025-07-03,中国科学院图书馆,19.66,48.63,6.82,92.66
2025-07-04,本馆,18.18,49.49,6.87,148.33
2025-07-04,国家图书馆,19.33,38.62,7.14,123.88
2025-07-04,上海图书馆,20.69,50.18,6.75,186.72
2025-07-04,南京图书馆,19.47,47.41,6.99,200.36
2025-07-04,浙江图书馆,22.38,48.47,6.5,196.23
